year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
2012,2,2.2,Weddell,241,0.9187319048248282,-1.0652173913043441,-0.09024727594126702
2013,2.5,7.6923076923076925,Weddell,240,1.2551749791470994,-2.065217391304344,0.24619579838100414
2014,2.130434782608696,7.777777777777778,Weddell,240,1.259819922273429,-2.065217391304344,0.2508407415073337
2015,1.962962962962963,5.888888888888889,Weddell,240,1.3803001442133138,-2.065217391304344,0.37132096344721854
2016,2.52,2.75,Weddell,241,0.7542163682082359,-1.0652173913043441,-0.2547628125578594
2017,2.5833333333333335,34.375,Weddell,240,1.182195461672873,-2.065217391304344,0.17321628090677765
2018,3,4.846153846153846,Weddell,240,1.1411259378214302,-2.065217391304344,0.13214675705533496
2019,2.12,5,Weddell,240,0.9192750351980086,-2.065217391304344,-0.0897041455680867
2020,2.3076923076923075,9.125,Weddell,241,0.9681636062053877,-1.0652173913043441,-0.04081557456070761
2021,2.5625,10,Weddell,240,0.9756216996163269,-2.065217391304344,-0.03335748114976833
2022,4.333333333333333,5,Weddell,240,0.8362554177118628,-2.065217391304344,-0.17272376305423243
2023,2.909090909090909,25,Weddell,240,1.3442241621284303,-2.065217391304344,0.33524498136233505
2024,2.6363636363636362,NA,Weddell,NA,NA,NA,NA
1979,2,25.324324324324323,circumpolar,264,15.029687997504436,-2.6086956521739353,-0.5192736768703394
1980,1.9333333333333333,33.05714285714286,circumpolar,265,16.137952428861144,-1.6086956521739353,0.5889907544863693
1981,2.3333333333333335,7.222222222222222,circumpolar,265,15.844160426170674,-1.6086956521739353,0.2951987517958994
1982,2.375,1.5,circumpolar,264,15.222148072370056,-2.6086956521739353,-0.32681360200471943
1983,1.7142857142857142,43,circumpolar,265,15.582348943028837,-1.6086956521739353,0.03338726865406194
1984,1.6666666666666667,5.5,circumpolar,266,15.757290274923243,-0.6086956521739353,0.2083286005484677
1985,1.4285714285714286,13,circumpolar,264,15.987124318352555,-2.6086956521739353,0.4381626439777797
1986,2.2941176470588234,3,circumpolar,265,14.620154773373443,-1.6086956521739353,-0.928806901001332
1987,1.6666666666666667,50.833333333333336,circumpolar,244,15.267743078587,-22.608695652173935,-0.2812185957877755
1988,2.142857142857143,10.571428571428571,circumpolar,270,15.934802047957382,3.3913043478260647,0.3858403735826066
1989,3.4545454545454546,17.37837837837838,circumpolar,265,15.139576412452506,-1.6086956521739353,-0.4093852619222691
1990,2,1,circumpolar,265,15.281596336468894,-1.6086956521739353,-0.2673653379058809
1991,4,13.133333333333333,circumpolar,265,15.865806616053892,-1.6086956521739353,0.3168449416791166
1992,3.8275862068965516,4.25,circumpolar,266,15.7603265075359,-0.6086956521739353,0.21136483316112553
1993,2.3333333333333335,NA,circumpolar,265,15.995805190118427,-1.6086956521739353,0.44684351574365166
1994,3.1538461538461537,7.5,circumpolar,265,15.409133275465308,-1.6086956521739353,-0.13982839890946686
1995,3.3333333333333335,2,circumpolar,265,15.078096319892348,-1.6086956521739353,-0.4708653544824273
1996,2.0588235294117645,6.142857142857143,circumpolar,266,15.886449370787885,-0.6086956521739353,0.3374876964131097
1997,2.3333333333333335,NA,circumpolar,265,16.328301278045956,-1.6086956521739353,0.7793396036711808
